f,k,db
30.00,19.61,25.85
40.00,30.77,29.76
50.00,36.54,31.26
60.00,43.85,32.84
70.00,49.23,33.84
80.00,55.77,34.93
90.00,60.77,35.67
100.00,66.66,36.48
130.00,77.69,37.81
150.00,84.61,38.55
180.00,95.67,39.62
200.00,98.82,39.90
250.00,117.55,41.40
300.00,122.00,41.73
400.00,128.00,42.14
500.00,133.00,42.48
750.00,138.77,42.85
1000.00,138.77,42.85
3000.00,143.33,43.13
7000.00,143.33,43.13
90000.00,143.33,43.13
100000.00,143.33,43.13
150000.00,140.00,42.92
300000.00,137.00,42.73
400000.00,139.00,42.86
700000.00,129.00,42.21
1000000.00,127.00,42.08
1300000.00,113.00,41.06
1500000.00,108.00,40.67
1800000.00,101.00,40.09
2000000.00,96.00,39.65
2200000.00,88.00,38.89
2500000.00,81.00,38.17
3000000.00,70.00,36.90
3500000.00,65.00,36.26
4000000.00,58.00,35.27
5500000.00,44.00,32.87
8000000.00,35.00,30.88
9000000.00,30.00,29.54
10000000.00,26.00,28.30
15000000.00,20.00,26.02
